order_id,user_id,order_timestamp,amount
o_1,1006,2026-01-13 10:00:00,49.0
o_2,1007,2026-03-31 16:00:00,19.0
o_3,1009,2026-01-02 11:00:00,149.0
o_4,1010,2026-03-29 15:00:00,19.0
o_5,1011,2026-02-28 16:00:00,49.0
o_6,1012,2026-03-27 13:00:00,99.0
o_7,1020,2026-01-21 17:00:00,149.0
o_8,1020,2026-03-02 14:00:00,49.0
o_9,1025,2026-02-26 09:00:00,99.0
o_10,1026,2026-01-05 12:00:00,149.0
o_11,1029,2026-03-09 14:00:00,49.0
o_12,1030,2026-01-21 10:00:00,99.0
o_13,1030,2026-02-05 16:00:00,149.0
o_14,1031,2026-01-28 18:00:00,99.0
o_15,1031,2026-03-15 14:00:00,149.0
o_16,1032,2026-02-23 15:00:00,149.0
o_17,1032,2026-03-17 09:00:00,99.0
o_18,1035,2026-02-04 14:00:00,19.0
o_19,1040,2026-03-25 18:00:00,149.0
o_20,1041,2026-01-18 16:00:00,99.0
o_21,1043,2026-02-24 09:00:00,49.0
o_22,1043,2026-03-23 17:00:00,99.0
o_23,1044,2026-02-23 10:00:00,149.0
o_24,1047,2026-02-16 10:00:00,99.0
o_25,1050,2026-02-25 14:00:00,19.0
o_26,1050,2026-02-28 13:00:00,99.0
o_27,1061,2026-01-26 18:00:00,49.0
o_28,1065,2026-01-03 11:00:00,149.0
o_29,1066,2026-02-28 12:00:00,19.0
o_30,1073,2026-01-30 10:00:00,49.0
o_31,1076,2026-01-07 10:00:00,49.0
o_32,1078,2026-01-25 14:00:00,149.0
o_33,1080,2026-02-21 17:00:00,149.0
o_34,1084,2026-01-27 14:00:00,99.0
o_35,1088,2026-03-29 13:00:00,19.0
o_36,1095,2026-01-07 14:00:00,99.0
o_37,1095,2026-01-12 18:00:00,49.0
o_38,1095,2026-02-25 09:00:00,149.0
o_39,1097,2026-01-08 16:00:00,19.0
o_40,1097,2026-02-01 18:00:00,99.0
o_41,1100,2026-01-08 11:00:00,99.0
o_42,1100,2026-01-11 11:00:00,149.0
o_43,1101,2026-03-25 14:00:00,149.0
o_44,1107,2026-01-27 17:00:00,19.0
o_45,1107,2026-02-22 10:00:00,149.0
o_46,1108,2026-01-07 14:00:00,99.0
o_47,1108,2026-03-17 11:00:00,19.0
o_48,1108,2026-03-25 18:00:00,49.0
o_49,1108,2026-03-29 13:00:00,49.0
o_50,1117,2026-01-28 10:00:00,49.0
o_51,1119,2026-01-19 10:00:00,99.0
o_52,1119,2026-01-24 11:00:00,19.0
o_53,1122,2026-03-07 10:00:00,149.0
o_54,1123,2026-01-19 13:00:00,99.0
o_55,1129,2026-02-18 14:00:00,149.0
o_56,1130,2026-01-30 18:00:00,149.0
o_57,1130,2026-03-17 16:00:00,19.0
o_58,1132,2026-02-18 10:00:00,19.0
o_59,1136,2026-01-18 18:00:00,149.0
o_60,1138,2026-01-15 16:00:00,19.0
o_61,1138,2026-02-15 18:00:00,19.0
o_62,1146,2026-01-04 10:00:00,19.0
o_63,1146,2026-02-01 18:00:00,19.0
o_64,1147,2026-01-14 09:00:00,149.0
o_65,1147,2026-01-17 14:00:00,49.0
o_66,1147,2026-01-25 16:00:00,99.0
o_67,1147,2026-02-28 15:00:00,149.0
o_68,1149,2026-01-14 11:00:00,149.0
o_69,1151,2026-02-04 09:00:00,99.0
