user_id,actual_churn,churn_probability,predicted_class,driver_1_feature,driver_1_shap,driver_1_text,driver_2_feature,driver_2_shap,driver_2_text,driver_3_feature,driver_3_shap,driver_3_text
3222,0,0.0005,0,sessions_recent_14d,-4.26853084564209,High recent activity with 11 sessions in last 14d (pulled churn risk DOWN by -4.27),days_since_last_session,-0.40385761857032776,Recent session logged 0 days ago (pulled churn risk DOWN by -0.40),total_events_60d,-0.380282461643219,"High overall engagement depth (212 total events, pulled churn risk DOWN by -0.38)"
2328,0,0.0035,0,sessions_recent_14d,-2.453395128250122,High recent activity with 7 sessions in last 14d (pulled churn risk DOWN by -2.45),days_since_last_session,-0.6045273542404175,Recent session logged 0 days ago (pulled churn risk DOWN by -0.60),total_events_60d,-0.37018734216690063,"High overall engagement depth (189 total events, pulled churn risk DOWN by -0.37)"
1967,0,0.1235,0,sessions_recent_14d,-0.4416697919368744,High recent activity with 3 sessions in last 14d (pulled churn risk DOWN by -0.44),days_since_last_session,0.34657183289527893,Inactive for 1 consecutive days (pushed churn risk UP by +0.35),support_ticket_count,0.25217732787132263,Filed 1 support tickets in 60d (pushed churn risk UP by +0.25)
1625,0,0.0344,0,sessions_recent_14d,0.8561270236968994,Recent 14-day activity dropped to 2 sessions (pushed churn risk UP by +0.86),support_ticket_count,-0.7939568758010864,Low support friction with 0 tickets (pulled churn risk DOWN by -0.79),total_events_60d,-0.6924434900283813,"High overall engagement depth (194 total events, pulled churn risk DOWN by -0.69)"
2618,0,0.0004,0,sessions_recent_14d,-4.672327518463135,High recent activity with 13 sessions in last 14d (pulled churn risk DOWN by -4.67),total_events_60d,-0.38605353236198425,"High overall engagement depth (261 total events, pulled churn risk DOWN by -0.39)",support_ticket_count,-0.32587921619415283,Low support friction with 0 tickets (pulled churn risk DOWN by -0.33)
3891,0,0.0002,0,sessions_recent_14d,-4.272135257720947,High recent activity with 8 sessions in last 14d (pulled churn risk DOWN by -4.27),total_events_60d,-0.5356059670448303,"High overall engagement depth (180 total events, pulled churn risk DOWN by -0.54)",days_since_last_session,-0.5010145306587219,Recent session logged 0 days ago (pulled churn risk DOWN by -0.50)
2732,0,0.0293,0,sessions_recent_14d,-2.052361011505127,High recent activity with 6 sessions in last 14d (pulled churn risk DOWN by -2.05),unresolved_tickets,0.3285396099090576,Has 1 unresolved support tickets (pushed churn risk UP by +0.33),days_since_last_session,-0.21971502900123596,Recent session logged 2 days ago (pulled churn risk DOWN by -0.22)
3850,0,0.0008,0,sessions_recent_14d,-4.26653528213501,High recent activity with 13 sessions in last 14d (pulled churn risk DOWN by -4.27),days_since_last_session,-0.4549426734447479,Recent session logged 0 days ago (pulled churn risk DOWN by -0.45),avg_session_gap_days,0.4456700384616852,High average session gap of 1.1 days (pushed churn risk UP by +0.45)
3374,0,0.0004,0,sessions_recent_14d,-4.3477983474731445,High recent activity with 11 sessions in last 14d (pulled churn risk DOWN by -4.35),total_events_60d,-0.5341647863388062,"High overall engagement depth (186 total events, pulled churn risk DOWN by -0.53)",support_ticket_count,-0.3938126862049103,Low support friction with 0 tickets (pulled churn risk DOWN by -0.39)
2334,0,0.0689,0,support_ticket_count,-1.103654146194458,Low support friction with 0 tickets (pulled churn risk DOWN by -1.10),sessions_recent_14d,0.7970423102378845,Recent 14-day activity dropped to 2 sessions (pushed churn risk UP by +0.80),days_since_last_session,-0.33817699551582336,Recent session logged 7 days ago (pulled churn risk DOWN by -0.34)
3808,0,0.5758,1,sessions_recent_14d,1.0672526359558105,Recent 14-day activity dropped to 0 sessions (pushed churn risk UP by +1.07),days_since_last_session,0.722690761089325,Inactive for 21 consecutive days (pushed churn risk UP by +0.72),support_ticket_count,0.382654070854187,Filed 1 support tickets in 60d (pushed churn risk UP by +0.38)
1110,0,0.5602,1,sessions_recent_14d,1.2414250373840332,Recent 14-day activity dropped to 2 sessions (pushed churn risk UP by +1.24),unresolved_tickets,0.6031185388565063,Has 1 unresolved support tickets (pushed churn risk UP by +0.60),core_feature_usage_count,0.3982384502887726,"Low adoption of core features (43 events, pushed churn risk UP by +0.40)"
3669,0,0.1404,0,session_drop_pct,0.3669965863227844,Session volume dropped by 62.5% in final 14d (pushed churn risk UP by +0.37),days_since_last_session,-0.228238046169281,Recent session logged 9 days ago (pulled churn risk DOWN by -0.23),support_ticket_count,0.14911164343357086,Filed 1 support tickets in 60d (pushed churn risk UP by +0.15)
2564,0,0.0002,0,sessions_recent_14d,-4.254936695098877,High recent activity with 14 sessions in last 14d (pulled churn risk DOWN by -4.25),total_events_60d,-0.5919925570487976,"High overall engagement depth (262 total events, pulled churn risk DOWN by -0.59)",days_since_last_session,-0.4862763285636902,Recent session logged 0 days ago (pulled churn risk DOWN by -0.49)
2293,0,0.0679,0,support_ticket_count,-0.9655117988586426,Low support friction with 0 tickets (pulled churn risk DOWN by -0.97),sessions_recent_14d,0.7858558893203735,Recent 14-day activity dropped to 2 sessions (pushed churn risk UP by +0.79),days_since_last_session,-0.32244783639907837,Recent session logged 3 days ago (pulled churn risk DOWN by -0.32)
2609,0,0.0005,0,sessions_recent_14d,-4.505210876464844,High recent activity with 8 sessions in last 14d (pulled churn risk DOWN by -4.51),days_since_last_session,-0.5590476989746094,Recent session logged 0 days ago (pulled churn risk DOWN by -0.56),support_ticket_count,-0.3053702712059021,Low support friction with 0 tickets (pulled churn risk DOWN by -0.31)
3368,0,0.0005,0,sessions_recent_14d,-4.150566101074219,High recent activity with 12 sessions in last 14d (pulled churn risk DOWN by -4.15),days_since_last_session,-0.37208816409111023,Recent session logged 0 days ago (pulled churn risk DOWN by -0.37),support_ticket_count,-0.3255324065685272,Low support friction with 0 tickets (pulled churn risk DOWN by -0.33)
